_id,x,y,objectid,terminal_id,node,location,lot,rate,maxhours,date1,time1,date2,time2,restdates,resttime1,resttime2,specialev,created_user,created_date,last_edited_user,last_edited_date,ratetimea,ratetimeb,rate2
89624,-79.9328900272569,40.4520009741599,671,328548-IVYBEL0004,IVY-BELL-L,IVY BELLEFONTE LOT,Lot,$2 Per Hour,No Max,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89625,-79.9324376393896,40.4520600357278,672,328549-IVYBEL0005,IVY-BELL-L,IVY BELLEFONTE LOT,Lot,$2 Per Hour,No Max,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89626,-79.8968823906022,40.4555700203817,237,331001-ZENITH0001,HOME-ZEN-L,HOMEWOOD ZENITH LOT,Lot,$1 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89627,-79.9504094911855,40.4633265194085,19,334552-TAYLOR0001,TAYLOR-L,TAYLOR STREET LOT,Lot,$1.50 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89628,-79.9484090328062,40.4621327862905,20,335553-FCEDAR0001,FRIE-CED-L,FRIENDSHIP CEDARVILLE LOT,Lot,$1.50 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89629,-79.9479852805536,40.462511747505,21,335554-FCEDAR0002,FRIE-CED-L,FRIENDSHIP CEDARVILLE LOT,Lot,$1.50 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89630,-79.9539049426517,40.4810754770083,305,337555-52BUTL0001,5224BUTL-L,52ND & BUTLER LOT,Lot,$2.00 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89631,-79.9603495561361,40.4705399765099,306,338556-42BUTL0001,42-BUTLE-L,42ND & BUTLER LOT,Lot,$2.00 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89632,-79.9805847142848,40.4293495874613,729,341334-18SDNY0001,18-SIDNE-L,18TH & SIDNEY LOT,Lot,$1.50 Per Hour,No Max,Mon - Thurs,~ 8AM - 10PM,Fri - Sat,~ 8AM - 10PM, , , ,No,,,,, , , 
89633,-79.9805659388217,40.4294271725793,730,341335-18SDNY0002,18-SIDNE-L,18TH & SIDNEY LOT,Lot,$1.50 Per Hour,No Max,Mon - Thurs,~ 8AM - 10PM,Fri - Sat,~ 8AM - 10PM, , , ,No,,,,, , , 
89634,-79.9857721080884,40.4288656990918,731,342336-ECARSN0001,EASTCARS-L,EAST CARSON LOT,Lot,$1.50 Per Hour,No Max,Mon - Thurs,~ 8AM - 10PM,Fri - Sat,~ 8AM - 10PM, , , ,No,,,,, , , 
89635,-79.9856433620538,40.4293802129582,732,342337-ECARSN0002,EASTCARS-L,EAST CARSON LOT,Lot,$1.50 Per Hour,No Max,Mon - Thurs,~ 8AM - 10PM,Fri - Sat,~ 8AM - 10PM, , , ,No,,,,, , , 
89636,-79.9783987132015,40.42853493842,733,343338-19CARSN0001,19-CARSO-L,19TH & CARSON LOT,Lot,$1.50 Per Hour,No Max,Mon - Thurs,~ 8AM - 10PM,Fri - Sat,~ 8AM - 10PM, , , ,No,,,,, , , 
89637,-79.9802628490523,40.4286554008637,734,344339-18CARSN0001,18-CARSO-L,18TH & CARSON LOT,Lot,$1.50 Per Hour,No Max,Mon - Thurs,~ 8AM - 10PM,Fri - Sat,~ 8AM - 10PM, , , ,No,,,,, , , 
89638,-79.9803030821759,40.4283287223301,735,344340-18CARSN0002,18-CARSO-L,18TH & CARSON LOT,Lot,$1.50 Per Hour,No Max,Mon - Thurs,~ 8AM - 10PM,Fri - Sat,~ 8AM - 10PM, , , ,No,,,,, , , 
89639,-79.9771648967259,40.4292515852269,736,345341-20SDNY0001,20-SIDNE-L,20TH & SIDNEY LOT,Lot,$1.50 Per Hour,No Max,Mon - Thurs,~ 8AM - 10PM,Fri - Sat,~ 8AM - 10PM, , , ,No,,,,, , , 
89640,-79.9769878708722,40.4291964588324,737,345342-20SDNY0002,20-SIDNE-L,20TH & SIDNEY LOT,Lot,$1.50 Per Hour,No Max,Mon - Thurs,~ 8AM - 10PM,Fri - Sat,~ 8AM - 10PM, , , ,No,,,,, , , 
89641,-79.977073055682,40.3848386158475,114,351001-BSANKY0001,BROW-SAN-L,BROWNSVILLE SANKEY LOT,Lot,$1.00 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89642,-79.9777724703051,40.3848762705488,115,351002-BSANKY0002,BROW-SAN-L,BROWNSVILLE SANKEY LOT,Lot,$1.00 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89643,-79.9950294015687,40.4217301256109,1,354001-WALTWAR0001,WALT-WAR-L,WALTER WARRINGTON LOT,Lot,$1.00 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89644,-79.9933449737883,40.4217546290321,2,355560-ASTERW0001,ASTE-WAR-L,ASTEROID WARRINGTON LOT,Lot,$1.00 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89645,-80.0187285295919,40.3926820813989,92,361001-BRKLOT0001,BROOKLIN-L,BROOKLINE LOT,Lot,$1.50 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
89646,-80.024390242837,40.4110918778814,10,363001-BEECHV0001,BEECHVIE-L,BEECHVIEW LOT,Lot,$1.50 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
